"","length","max_sp_length","length_index","hg_liv","hg_mus","se_liv","se_mus","species","genus","family","subord","format","sample","number","tissue","lat","long","trophic","X","author","source_doi","habit","hg_sea"
"1","200.58","256","0.783515625","36","36","39","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"2","205.64","256","0.80328125","78","78","80","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"3","209.52","256","0.8184375","90","90","66","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"4","227.47","256","0.8885546875","797","797","184","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"5","227.47","256","0.8885546875","802","802","186","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"6","227.82","256","0.889921875","409","409","223","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"7","229.02","256","0.894609375","500","500","115","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"8","229.02","256","0.894609375","386","386","126","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"9","229.02","256","0.894609375","359","359","121","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"10","233.42","256","0.911796875","198","198","121","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"11","233.42","256","0.911796875","503","503","118","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"12","234.95","256","0.9177734375","500","500","117","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"13","234.95","256","0.9177734375","201","201","119","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"14","234.95","256","0.9177734375","411","411","66","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
"15","235.06","256","0.918203125","288","288","152","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",35.746862,142.118874,4.2,""," Agusa et al 2008","10.1016/j.marpolbul.2008.01.039","n",8.67144654852259e-10
